"AMT","01","522","M","1"
"AMT","02","782","M","1"
"AMT","03","478","O","1"
"BHT","01","1005","M","1"
"BHT","02","353","M","1"
"BHT","03","127","O","1"
"BHT","04","373","O","1"
"BHT","05","337","O","1"
"BHT","06","640","O","1"
"DMG","01","1250","C","1"
"DMG","02","1251","C","1"
"DMG","03","1068","O","1"
"DMG","04","1067","O","1"
"DMG","05","C056","C","10"
"DMG","06","1066","O","1"
"DMG","07","26","O","1"
"DMG","08","659","O","1"
"DMG","09","380","O","1"
"DMG","10","1270","C","1"
"DMG","11","1271","C","1"
"DTP","01","374","M","1"
"DTP","02","1250","M","1"
"DTP","03","1251","M","1"
"HL","01","628","M","1"
"HL","02","734","O","1"
"HL","03","735","M","1"
"HL","04","736","O","1"
"N2","01","93","M","1"
"N2","02","93","O","1"
"N3","01","166","M","1"
"N3","02","166","O","1"
"N4","01","19","O","1"
"N4","02","156","C","1"
"N4","03","116","O","1"
"N4","04","26","C","1"
"N4","05","309","C","1"
"N4","06","310","O","1"
"N4","07","1715","C","1"
"NM1","01","98","M","1"
"NM1","02","1065","M","1"
"NM1","03","1035","C","1"
"NM1","04","1036","O","1"
"NM1","05","1037","O","1"
"NM1","06","1038","O","1"
"NM1","07","1039","O","1"
"NM1","08","66","C","1"
"NM1","09","67","C","1"
"NM1","10","706","C","1"
"NM1","11","98","O","1"
"NM1","12","1035","O","1"
"PAT","01","1069","O","1"
"PAT","02","1384","O","1"
"PAT","03","584","O","1"
"PAT","04","1220","O","1"
"PAT","05","1250","C","1"
"PAT","06","1251","C","1"
"PAT","07","355","C","1"
"PAT","08","81","C","1"
"PAT","09","1073","O","1"
"PER","01","366","M","1"
"PER","02","93","O","1"
"PER","03","365","C","1"
"PER","04","364","C","1"
"PER","05","365","C","1"
"PER","06","364","C","1"
"PER","07","365","C","1"
"PER","08","364","C","1"
"PER","09","443","O","1"
"REF","01","128","M","1"
"REF","02","127","C","1"
"REF","03","352","C","1"
"REF","04","C040","O","1"
"SBR","01","1138","M","1"
"SBR","02","1069","O","1"
"SBR","03","127","O","1"
"SBR","04","93","O","1"
"SBR","05","1336","O","1"
"SBR","06","1143","O","1"
"SBR","07","1073","O","1"
"SBR","08","584","O","1"
"SBR","09","1032","O","1"
"SE","01","96","M","1"
"SE","02","329","M","1"
"ST","01","143","M","1"
"ST","02","329","M","1"
"ST","03","1705","O","1"
"SVC","01","C003","M","1"
"SVC","02","782","M","1"
"SVC","03","782","O","1"
"SVC","04","234","O","1"
"SVC","05","380","O","1"
"SVC","06","C003","O","1"
"SVC","07","380","O","1"
"TRN","01","481","M","1"
"TRN","02","127","M","1"
"TRN","03","509","O","1"
"TRN","04","127","O","1"

