"AMT","Monetary Amount Information"
"BHT","Beginning of Hierarchical Transaction"
"CAS","Claims Adjustment"
"CL1","Claim Codes"
"CLM","Health Claim"
"CN1","Contract Information"
"CR1","Ambulance Certification"
"CR2","Chiropractic Certification"
"CR3","Durable Medical Equipment Certification"
"CR4","Enteral or Parenteral Therapy Certification"
"CR5","Oxygen Therapy Certification"
"CR6","Home Health Care Certification"
"CR7","Home Health Treatment Plan Certification"
"CR8","Pacemaker Certification"
"CRC","Conditions Indicator"
"CTP","Pricing Information"
"CUR","Currency"
"DMG","Demographic Information"
"DN1","Orthodontic Information"
"DN2","Tooth Summary"
"DSB","Disability Information"
"DTP","Date or Time or Period"
"FRM","Supporting Documentation"
"HCP","Health Care Pricing"
"HI","Health Care Information Codes"
"HL","Hierarchical Level"
"HSD","Health Care Services Delivery"
"IMM","Immunization Status"
"K3","File Information"
"LIN","Item Identification"
"LQ","Industry Code Identification"
"LX","Transaction Set Line Number"
"MEA","Measurements"
"MIA","Medicare Inpatient Adjudication"
"MOA","Medicare Outpatient Adjudication"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NTE","Note/Special Instruction"
"OI","Other Health Insurance Information"
"PAT","Patient Information"
"PER","Administrative Communications Contact"
"PRV","Provider Information"
"PS1","Purchase Service"
"PWK","Paperwork"
"QTY","Quantity Information"
"REF","Reference Information"
"SBR","Subscriber Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"SV1","Professional Service"
"SV2","Institutional Service"
"SV3","Dental Service"
"SV4","Drug Service"
"SV5","Durable Medical Equipment Service"
"SV6","Anesthesia Service"
"SV7","Drug Adjudication"
"SVD","Service Line Adjudication"
"TOO","Tooth Identification"
"UR","Peer Review Organization or Utilization Review"
