"A","278-A3","","","","","","","","","","","4932","","It is required that separate transaction sets be used for different patients."
"B","278-A3","1","0100","","","","","","","1","0100","4933","","This segment indicates the start of a health care services review information response transaction set with all the supporting detail information. This transaction set is the electronic equivalent of a phone, fax, or paper-based utilization management response."
"B","278-A3","1","0100","","","","","","","1","0100","4260","E","ST*278*0001*005010X217~"
"B","278-A3","1","0100","","","","","","","1","0100","","A","Transaction Set Header"
"C","278-A3","1","0100","ST","01","","","","","1","0100","","F","Transaction Set Identifier Code"
"C","278-A3","1","0100","ST","02","","","","","1","0100","5176","","The Transaction Set Control Numbers in ST02 and SE02 must be identical. The number is assigned by the originator and must be unique within a functional group (GS-GE). For example, start with the number 0001 and increment from there. The number also aids in error resolution research. Use the corresponding value in SE02 for this transaction set."
"C","278-A3","1","0100","ST","02","","","","","1","0100","","F","Transaction Set Control Number"
"C","278-A3","1","0100","ST","03","","","","","1","0100","5542","","This element must be populated with the guide identifier named in Section 1.2."
"C","278-A3","1","0100","ST","03","","","","","1","0100","5543","","This field contains the same value as GS08. Some translator products strip off the ISA and GS segments prior to application (STSE) processing. Providing the information from the GS08 at this level will ensure that the appropriate application mapping is utilized at translation time."
"C","278-A3","1","0100","ST","03","","","","","1","0100","","F","Implementation Guide Version Name"
"B","278-A3","1","0200","","","","","","","1","0200","4938","E","BHT*0007*11*200300114000001*20050501*1400*18~"
"B","278-A3","1","0200","","","","","","","1","0200","","A","Beginning of Hierarchical Transaction"
"C","278-A3","1","0200","BHT","01","","","","","1","0200","","F","Hierarchical Structure Code"
"C","278-A3","1","0200","BHT","02","","","","","1","0200","","F","Transaction Set Purpose Code"
"C","278-A3","1","0200","BHT","03","","","","","1","0200","5075","","Return the transaction identifier entered in BHT03 on the 278 request."
"C","278-A3","1","0200","BHT","03","","","","","1","0200","","F","Submitter Transaction Identifier"
"C","278-A3","1","0200","BHT","04","","","","","1","0200","","F","Transaction Set Creation Date"
"C","278-A3","1","0200","BHT","05","","","","","1","0200","","F","Transaction Set Creation Time"
"C","278-A3","1","0200","BHT","06","","","","","1","0200","","F","Transaction Type Code"
"E","278-A3","1","0200","BHT","06","","","640","18","1","0200","5374","","Use this code to indicate that this is a final response. This indicates that no additional EDI responses are necessary or forthcoming from the UMO in relation to the original request."
"E","278-A3","1","0200","BHT","06","","","640","19","1","0200","5375","","Use this code to indicate that one or more of the services requested are pending further review and an EDI response will be delivered later."
"E","278-A3","1","0200","BHT","06","","","640","AT","1","0200","5351","","BHT06 must be valued with ""AT"" if this 278 response contains a request for additional information.<R>
Delivery of follow-up response(s) is as mutually agreed by trading partners."
"E","278-A3","1","0200","BHT","06","","","640","RU","1","0200","5483","","Use this code to respond to a request for medical services reservations."
"B","278-A3","2","0100","","","","","","","2","0100","4939","E","HL*1**20*1~"
"B","278-A3","2","0100","","","","","","","2","0100","4974","A","Utilization Management Organization (UMO) Level"
"B","278-A3","2","0100","","","","","","","2","0100","5177","","This segment indicates the information source hierarchical level. The information source corresponds to the payer, HMO, or other utilization management organization that is the source of the health care services review decision/response."
"C","278-A3","2","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A3","2","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A3","2","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A3","2","0300","","","","","","","2","0300","5076","E","AAA*Y**42*Y~"
"B","278-A3","2","0300","","","","","","","2","0300","5175","A","Request Validation"
"B","278-A3","2","0300","","","","","","","2","0300","5178","","Required when the request cannot be processed at a system or application level based on the trading partner information contained in the Functional Group Header (GS). If not required by this implementation guide, do not send."
"C","278-A3","2","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
"E","278-A3","2","0300","AAA","01","","","1073","N","2","0300","5077","","Use this code to indicate that the request or an element in the request is not valid. The transaction has been rejected as identified by the code in AAA03."
"E","278-A3","2","0300","AAA","01","","","1073","Y","2","0300","5078","","Use this code to indicate that the request is valid, however the transaction has been rejected as identified by the code in AAA03."
"C","278-A3","2","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-A3","2","0300","AAA","03","","","901","04","2","0300","5212","","Use this code to indicate that the functional group exceeds the maximum number of transactions as specified by agreement between the application sender GS02 and application receiver GS03."
"E","278-A3","2","0300","AAA","03","","","901","41","2","0300","5213","","Use this code to indicate that the application sender (GS02) and application receiver (GS03) do not have a trading partner agreement for the transaction sets identified in GS01 or transaction sets with the purpose identified in BHT02. The 278 transaction set has three different implementations. The transaction set purpose, as identified in BHT02, specifies the implementation."
