"19","AN","2","30"
"26","ID","2","3"
"66","ID","1","2"
"67","AN","2","80"
"93","AN","1","60"
"96","N0","1","10"
"98","ID","2","3"
"116","ID","3","15"
"127","AN","1","50"
"128","ID","2","3"
"143","ID","3","3"
"156","ID","2","2"
"166","AN","1","55"
"306","ID","1","2"
"309","ID","1","2"
"310","AN","1","30"
"329","AN","4","9"
"337","TM","4","8"
"352","AN","1","80"
"353","ID","2","2"
"364","AN","1","256"
"365","ID","2","2"
"366","ID","2","2"
"373","DT","8","8"
"374","ID","3","3"
"429","AN","1","16"
"443","AN","1","20"
"481","ID","1","2"
"509","AN","10","10"
"554","N0","1","6"
"591","ID","3","3"
"623","ID","2","2"
"640","ID","2","2"
"706","ID","2","2"
"755","ID","2","2"
"756","ID","1","2"
"782","R","1","18"
"784","N0","1","15"
"785","B","1","1"
"786","ID","2","2"
"787","N","1","15"
"788","N","1","5"
"789","AN","2","2"
"797","ID","2","2"
"799","AN","1","30"
"800","AN","1","30"
"801","AN","1","30"
"802","AN","1","30"
"803","AN","1","64"
"804","AN","1","4"
"933","AN","1","264"
"1035","AN","1","60"
"1036","AN","1","35"
"1037","AN","1","25"
"1038","AN","1","10"
"1039","AN","1","10"
"1065","ID","1","1"
"1221","ID","1","3"
"1223","ID","3","3"
"1250","ID","2","3"
"1251","AN","1","35"
"1270","ID","1","3"
"1271","AN","1","30"
"1570","ID","3","3"
"1705","AN","1","35"
"1715","ID","1","3"
