"AMT","Monetary Amount Information"
"BGN","Beginning Segment"
"CTX","Context"
"DTM","Date/Time Reference"
"LM","Code Source Information"
"LQ","Industry Code Identification"
"N1","Party Identification"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NTE","Note/Special Instruction"
"OTI","Original Transaction Identification"
"PER","Administrative Communications Contact"
"QTY","Quantity Information"
"RED","Related Data"
"REF","Reference Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"TED","Technical Error Description"
