"B","824-A1","1","0100","","","","","","","1","0100","5"
"C","824-A1","1","0100","ST","01","","","","","1","0100","5"
"E","824-A1","1","0100","ST","01","","","143","824","1","0100","2"
"C","824-A1","1","0100","ST","02","","","","","1","0100","5"
"C","824-A1","1","0100","ST","03","","","","","1","0100","5"
"B","824-A1","1","0200","","","","","","","1","0200","5"
"C","824-A1","1","0200","BGN","01","","","","","1","0200","5"
"E","824-A1","1","0200","BGN","01","","","353","11","1","0200","2"
"C","824-A1","1","0200","BGN","02","","","","","1","0200","5"
"C","824-A1","1","0200","BGN","03","","","","","1","0200","5"
"C","824-A1","1","0200","BGN","04","","","","","1","0200","5"
"C","824-A1","1","0200","BGN","05","","","","","1","0200","8"
"C","824-A1","1","0200","BGN","06","","","","","1","0200","2"
"C","824-A1","1","0200","BGN","07","","","","","1","0200","8"
"C","824-A1","1","0200","BGN","08","","","","","1","0200","5"
"E","824-A1","1","0200","BGN","08","","","306","RU","1","0200","2"
"E","824-A1","1","0200","BGN","08","","","306","U","1","0200","2"
"E","824-A1","1","0200","BGN","08","","","306","WQ","1","0200","2"
"C","824-A1","1","0200","BGN","09","","","","","1","0200","8"
"B","824-A1","1","0300","","","","","","","1","0300","5"
"C","824-A1","1","0300","N1","01","","","","","1","0300","5"
"E","824-A1","1","0300","N1","01","","","98","41","1","0300","2"
"C","824-A1","1","0300","N1","02","","","","","1","0300","5"
"C","824-A1","1","0300","N1","03","","","","","1","0300","5"
"E","824-A1","1","0300","N1","03","","","66","1","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","9","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","24","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","46","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","75","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","EQ","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","FI","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","PI","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","XV","1","0300","2"
"E","824-A1","1","0300","N1","03","","","66","XX","1","0300","2"
"C","824-A1","1","0300","N1","04","","","","","1","0300","5"
"C","824-A1","1","0300","N1","05","","","","","1","0300","8"
"C","824-A1","1","0300","N1","06","","","","","1","0300","8"
"B","824-A1","1","0700","","","","","","","1","0700","2"
"C","824-A1","1","0700","REF","01","","","","","1","0700","5"
"E","824-A1","1","0700","REF","01","","","128","3L","1","0700","2"
"C","824-A1","1","0700","REF","02","","","","","1","0700","5"
"C","824-A1","1","0700","REF","03","","","","","1","0700","8"
"C","824-A1","1","0700","REF","04","","","","","1","0700","8"
"B","824-A1","1","0800","","","","","","","1","0800","2"
"C","824-A1","1","0800","PER","01","","","","","1","0800","5"
"E","824-A1","1","0800","PER","01","","","366","IC","1","0800","2"
"C","824-A1","1","0800","PER","02","","","","","1","0800","2"
"C","824-A1","1","0800","PER","03","","","","","1","0800","3"
"E","824-A1","1","0800","PER","03","","","365","EM","1","0800","2"
"E","824-A1","1","0800","PER","03","","","365","FX","1","0800","2"
"E","824-A1","1","0800","PER","03","","","365","TE","1","0800","2"
"C","824-A1","1","0800","PER","04","","","","","1","0800","3"
"C","824-A1","1","0800","PER","05","","","","","1","0800","3"
"E","824-A1","1","0800","PER","05","","","365","EM","1","0800","2"
"E","824-A1","1","0800","PER","05","","","365","EX","1","0800","2"
"E","824-A1","1","0800","PER","05","","","365","FX","1","0800","2"
"E","824-A1","1","0800","PER","05","","","365","TE","1","0800","2"
