"19","AN","2","30"
"26","ID","2","3"
"66","ID","1","2"
"67","AN","2","80"
"81","R","1","10"
"93","AN","1","60"
"96","N0","1","10"
"98","ID","2","3"
"116","ID","3","15"
"127","AN","1","50"
"128","ID","2","3"
"143","ID","3","3"
"156","ID","2","2"
"166","AN","1","55"
"234","AN","1","48"
"235","ID","2","2"
"306","ID","1","2"
"309","ID","1","2"
"310","AN","1","30"
"329","AN","4","9"
"337","TM","4","8"
"352","AN","1","80"
"353","ID","2","2"
"355","ID","2","2"
"364","AN","1","256"
"365","ID","2","2"
"366","ID","2","2"
"373","DT","8","8"
"374","ID","3","3"
"380","R","1","15"
"429","AN","1","16"
"443","AN","1","20"
"478","ID","1","1"
"481","ID","1","2"
"509","AN","10","10"
"522","ID","1","3"
"584","ID","2","2"
"591","ID","3","3"
"628","AN","1","12"
"640","ID","2","2"
"659","ID","1","2"
"704","ID","1","2"
"706","ID","2","2"
"734","AN","1","12"
"735","ID","1","2"
"736","ID","1","1"
"755","ID","2","2"
"756","ID","1","2"
"757","N0","1","2"
"782","R","1","18"
"933","AN","1","264"
"1005","ID","4","4"
"1032","ID","1","2"
"1035","AN","1","60"
"1036","AN","1","35"
"1037","AN","1","25"
"1038","AN","1","10"
"1039","AN","1","10"
"1065","ID","1","1"
"1066","ID","1","2"
"1067","ID","1","1"
"1068","ID","1","1"
"1069","ID","2","2"
"1073","ID","1","1"
"1109","ID","1","1"
"1138","ID","1","1"
"1143","ID","1","1"
"1220","ID","1","1"
"1250","ID","2","3"
"1251","AN","1","35"
"1270","ID","1","3"
"1271","AN","1","30"
"1336","ID","1","3"
"1339","AN","2","2"
"1384","ID","1","1"
"1525","ID","1","2"
"1705","AN","1","35"
"1715","ID","1","3"
