"AMT","Monetary Amount Information"
"BHT","Beginning of Hierarchical Transaction"
"CAS","Claims Adjustment"
"CLM","Health Claim"
"CN1","Contract Information"
"CUR","Currency"
"DMG","Demographic Information"
"DN1","Orthodontic Information"
"DN2","Tooth Summary"
"DTP","Date or Time or Period"
"HCP","Health Care Pricing"
"HI","Health Care Information Codes"
"HL","Hierarchical Level"
"K3","File Information"
"LX","Transaction Set Line Number"
"MOA","Medicare Outpatient Adjudication"
"N2","Additional Name Information"
"N3","Party Location"
"N4","Geographic Location"
"NM1","Individual or Organizational Name"
"NTE","Note/Special Instruction"
"OI","Other Health Insurance Information"
"PAT","Patient Information"
"PER","Administrative Communications Contact"
"PRV","Provider Information"
"PWK","Paperwork"
"QTY","Quantity Information"
"REF","Reference Information"
"SBR","Subscriber Information"
"SE","Transaction Set Trailer"
"ST","Transaction Set Header"
"SV3","Dental Service"
"SVD","Service Line Adjudication"
"TOO","Tooth Identification"
